Name;MmSize;InchSize;Ratio
# http://www.papersizes.org;;;
;;;
A Paper Sizes;;;
;;;
4A0;1682 x 2378 mm;66.2 x 93.6 in;
2A0;1189 x 1682 mm;46.8 x 66.2 in;
A0;841 x 1189 mm;33.1 x 46.8 in;
A1;594 x 841 mm;23.4 x 33.1 in;
A2;420 x 594 mm;16.5 x 23.4 in;
A3;297 x 420 mm;11.7 x 16.5 in;
A3+ (Super A3);329 x 483 mm;3 x 19 in;
A4;210 x 297 mm;8.3 x 11.7 in;
A5;148 x 210 mm;5.8 x 8.3 in;
A6;105 x 148 mm;4.1 x 5.8 in;
A7;74 x 105 mm;2.9 x 4.1 in;
A8;52 x 74 mm;2.0 x 2.9 in;
A9;37 x 52 mm;1.5 x 2.0 in;
A10;26 x 37 mm;1.0 x 1.5 in;
;;;
B Paper Sizes;;;
;;;
B0;1000 x 1414 mm;39.4 x 55.7 in;
B1;707 x 1000 mm;27.8 x 39.4 in;
B1XL;750 x 1050 mm;29.5 x 41.3 in;
B2;500 x 707 mm;19.7 x 27.8 in;
B2+;530 x 750 mm;20.9 x 29.5 in;
B3;353 x 500 mm;13.9 x 19.7 in;
B4;250 x 353 mm;9.8 x 13.9 in;
B5;176 x 250 mm;6.9 x 9.8 in;
B6;125 x 176 mm;4.9 x 6.9 in;
B7;88 x 125 mm;3.5 x 4.9 in;
B8;62 x 88 mm;2.4 x 3.5 in;
B9;44 x 62 mm;1.7 x 2.4 in;
B10;31 x 44 mm;1.2 x 1.7 in;
;;;
RB Paper Sizes;;;
;;;
RB0;1025 x 1449 mm;40.4 x 57.0 in;
RB1;725 x 1025 mm;28.5 x 40.4 in;
RB2;513 x 725 mm;20.2 x 28.5 in;
RB3;363 x 513 mm;14.3 x 20.2 in;
RB4;257 x 363 mm;10.1 x 14.3 in;
;;;
SRB Paper Sizes;;;
;;;
SRB0;1072 x 1516 mm;42.2 x 59.9 in;
SRB1;758 x 1072 mm;29.8 x 42.2 in;
SRB2;536 x 758 mm;21.1 x 29.8 in;
SRB3;379 x 536 mm;14.9 x 21.1 in;
SRB4;268 x 379 mm;10.6 x 14.9 in;
;;;
C Envelope Sizes;;;
;;;
C0;917 x 1297 mm;36.1 x 51.5 in;
C1;648 x 917 mm;25.5 x 36.1 in;
C2;458 x 648 mm;18.0 x 25.5 in;
C3;324 x 458 mm;12.8 x 18.0 in;
C4;229 x 324 mm;9.0 x 12.8 in;
C5;162 x 229 mm;6.4 x 9.0 in;
C6;114 x 162 mm;4.5 x 6.4 in;
C7;81 x 114 mm;3.2 x 4.5 in;
C8;57 x 81 mm;2.2 x 3.2 in;
C9;40 x 57 mm;1.6 x 2.2 in;
C10;28 x 40 mm;1.1 x 1.6 in;
;;;
DL Envelope Size;;;
;;;
DL;110 x 220 mm;4.33 x 8.66;
;;;
RA Untrimmed Paper Sizes;;;
;;;
RA0;860 x 1220 mm;33.9 x 48.0 in;
RA1;610 x 860 mm;24.0 x 33.9 in;
RA2;430 x 610 mm;16.9 x 24.0 in;
RA3;305 x 430 mm;12.0 x 16.9 in;
RA4;215 x 305 mm;8.5 x 12.0 in;
;;;
SRA Untrimmed Paper Sizes;;;
;;;
SRA0;900 x 1280 mm;35.4 x 50.4 in;
SRA1;640 x 900 mm;25.2 x 35.4 in;
SRA2;450 x 640 mm;17.7 x 25.2 in;
SRA3;320 x 450 mm;12.6 x 17.7 in;
SRA4;225 x 320 mm;8.9 x 12.6 in;
;;;
SRA1+, SRA2+, SRA3+ and SRA3++ Paper Sizes;;;
;;;
SRA1+;660 x 920 mm;26.0 x 36.2 in;
SRA2+;480 x 650 mm;18.9 x 25.6 in;
